"County, State",State,County Name,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"St. Charles, Louisiana",Louisiana,St. Charles,25,62,183
"Jones, North Carolina",North Carolina,Jones,25,7,16
"Calhoun, West Virginia",West Virginia,Calhoun,25,7,17
"Gilmer, West Virginia",West Virginia,Gilmer,25,10,29
"St. Helena, Louisiana",Louisiana,St. Helena,25,9,24
"Worth, Georgia",Georgia,Worth,25,26,59
"Wyoming, New York",New York,Wyoming,25,49,170
"Beaufort, South Carolina",South Carolina,Beaufort,25,234,750
"Starr, Texas",Texas,Starr,25,80,199
"Orange, Vermont",Vermont,Orange,25,37,120
"Phelps, Nebraska",Nebraska,Phelps,24,11,74
"Trigg, Kentucky",Kentucky,Trigg,24,16,58
"Franklin, Vermont",Vermont,Franklin,24,57,195
"Gogebic, Michigan",Michigan,Gogebic,24,18,67
"Allen, Louisiana",Louisiana,Allen,24,28,75
"Beaufort, North Carolina",North Carolina,Beaufort,24,51,158
"Halifax, Virginia",Virginia,Halifax,24,43,103
"Lee, Florida",Florida,Lee,24,909,"2,787"
"Cumberland, Virginia",Virginia,Cumberland,24,26,85
"Clay, South Dakota",South Dakota,Clay,24,17,76
"Monroe, Florida",Florida,Monroe,24,100,310
"Addison, Vermont",Vermont,Addison,24,44,135
"Taylor, Florida",Florida,Taylor,24,26,63
"Fulton, Arkansas",Arkansas,Fulton,24,13,36
"Becker, Minnesota",Minnesota,Becker,24,41,159
"Val Verde, Texas",Texas,Val Verde,24,58,179
"Dodge, Minnesota",Minnesota,Dodge,24,25,105
"Richland, North Dakota",North Dakota,Richland,24,20,60
"Taylor, Georgia",Georgia,Taylor,24,11,22
"Menard, Illinois",Illinois,Menard,24,15,41
"Tunica, Mississippi",Mississippi,Tunica,24,12,27
"Cherokee, Iowa",Iowa,Cherokee,24,14,53
"Somerset, New Jersey",New Jersey,Somerset,24,393,"1,445"
"Willacy, Texas",Texas,Willacy,24,25,82
"Bee, Texas",Texas,Bee,24,37,99
"Avery, North Carolina",North Carolina,Avery,24,14,45
"Hampton, South Carolina",South Carolina,Hampton,24,23,65
"McClain, Oklahoma",Oklahoma,McClain,24,32,105
"Emery, Utah",Utah,Emery,24,12,47
"Tensas, Louisiana",Louisiana,Tensas,24,5,11
"Breckinridge, Kentucky",Kentucky,Breckinridge,24,25,90
"Washington, Kansas",Kansas,Washington,24,7,21
"Madison, Mississippi",Mississippi,Madison,24,135,465
"Nevada, California",California,Nevada,24,117,354
"Waller, Texas",Texas,Waller,24,61,201
"District of Columbia, District of Columbia",District of Columbia,District of Columbia,24,808,"3,734"
"Lake, Florida",Florida,Lake,24,466,"1,427"
"Koochiching, Minnesota",Minnesota,Koochiching,24,15,64
"Grant, Kansas",Kansas,Grant,24,9,28
"Madison, Ohio",Ohio,Madison,24,67,216
"Howard, Missouri",Missouri,Howard,24,11,36
"Harney, Oregon",Oregon,Harney,24,9,30
"San Saba, Texas",Texas,San Saba,24,7,20
"Ford, Kansas",Kansas,Ford,24,41,121
"Tallahatchie, Mississippi",Mississippi,Tallahatchie,24,15,34
"Manatee, Florida",Florida,Manatee,24,498,"1,539"
"Dallas, Missouri",Missouri,Dallas,24,19,52
"Nassau, New York",New York,Nassau,24,"1,638","5,707"
"Okfuskee, Oklahoma",Oklahoma,Okfuskee,24,14,48
"Bradford, Florida",Florida,Bradford,24,30,80
"Blackford, Indiana",Indiana,Blackford,24,15,53
"Marinette, Wisconsin",Wisconsin,Marinette,24,50,137
"Prince George's, Maryland",Maryland,Prince George's,24,"1,132","3,958"
"Escambia, Alabama",Alabama,Escambia,24,44,129
"Rosebud, Montana",Montana,Rosebud,24,10,26
"Taos, New Mexico",New Mexico,Taos,24,40,100
"Morgan, Illinois",Illinois,Morgan,24,39,106
"Kossuth, Iowa",Iowa,Kossuth,24,17,56
"Bayfield, Wisconsin",Wisconsin,Bayfield,24,16,52
"Randolph, Illinois",Illinois,Randolph,24,28,80
"Wolfe, Kentucky",Kentucky,Wolfe,24,8,32
"Providence, Rhode Island",Rhode Island,Providence,24,783,"2,488"
"Sabine, Texas",Texas,Sabine,24,10,24
"Gadsden, Florida",Florida,Gadsden,24,52,150
"Middlesex, Massachusetts",Massachusetts,Middlesex,24,"1,919","7,465"
"Caldwell, Louisiana",Louisiana,Caldwell,24,12,27
"Appomattox, Virginia",Virginia,Appomattox,24,18,67
"Bureau, Illinois",Illinois,Bureau,24,39,130
"Charlton, Georgia",Georgia,Charlton,24,15,31
"Watonwan, Minnesota",Minnesota,Watonwan,24,13,47
"Union, Florida",Florida,Union,24,18,44
"Plymouth, Iowa",Iowa,Plymouth,24,40,159
"McCook, South Dakota",South Dakota,McCook,24,7,17
"Bristol, Rhode Island",Rhode Island,Bristol,24,60,220
"Williamson, Tennessee",Tennessee,Williamson,24,286,"1,120"
"Norfolk, Massachusetts",Massachusetts,Norfolk,24,870,"3,267"
"Parke, Indiana",Indiana,Parke,24,19,61
"Lewis, West Virginia",West Virginia,Lewis,24,21,60
"Page, Iowa",Iowa,Page,24,18,57
"Chambers, Texas",Texas,Chambers,24,49,194
"Sunflower, Mississippi",Mississippi,Sunflower,24,29,78
